code,date,close
sh.600000,2017-03-31,16.01
sh.600004,2017-03-31,15.94
sh.600006,2017-03-31,6.88
sh.600007,2017-03-31,20.01
sh.600008,2017-03-31,4.26
sh.600009,2017-03-31,29.98
sh.600010,2017-03-31,3.03
sh.600011,2017-03-31,7.17
sh.600012,2017-03-31,16.65
sh.600015,2017-03-31,11.29
sh.600016,2017-03-31,8.48
sh.600017,2017-03-31,4.3
sh.600018,2017-03-31,5.9
sh.600019,2017-03-31,6.51
sh.600020,2017-03-31,4.91
sh.600021,2017-03-31,12.32
sh.600022,2017-03-31,2.69
sh.600023,2017-03-31,5.7
sh.600026,2017-03-31,7.16
sh.600027,2017-03-31,5.04
sh.600028,2017-03-31,5.74
sh.600029,2017-03-31,8.06
sh.600030,2017-03-31,16.11
sh.600031,2017-03-31,7.2
sh.600033,2017-03-31,3.85
sh.600035,2017-03-31,5.83
sh.600036,2017-03-31,19.17
sh.600037,2017-03-31,15.14
sh.600038,2017-03-31,50.0
sh.600039,2017-03-31,5.0
sh.600048,2017-03-31,9.53
sh.600050,2017-03-31,7.47
sh.600051,2017-03-31,12.04
sh.600052,2017-03-31,6.36
sh.600053,2017-03-31,38.9
sh.600054,2017-03-31,17.3
sh.600055,2017-03-31,16.76
sh.600056,2017-03-31,23.64
sh.600057,2017-03-31,11.05
sh.600058,2017-03-31,14.27
sh.600059,2017-03-31,10.21
sh.600060,2017-03-31,18.09
sh.600061,2017-03-31,15.04
sh.600062,2017-03-31,23.65
sh.600063,2017-03-31,4.88
sh.600064,2017-03-31,16.67
sh.600066,2017-03-31,21.48
sh.600067,2017-03-31,6.89
sh.600068,2017-03-31,11.77
sh.600070,2017-03-31,12.83
sh.600071,2017-03-31,20.59
sh.600072,2017-03-31,20.69
sh.600073,2017-03-31,10.37
sh.600075,2017-03-31,13.77
sh.600076,2017-03-31,10.29
sh.600077,2017-03-31,4.91
sh.600078,2017-03-31,7.38
sh.600079,2017-03-31,19.74
sh.600080,2017-03-31,11.58
sh.600081,2017-03-31,14.83
sh.600082,2017-03-31,7.57
sh.600083,2017-03-31,18.83
sh.600084,2017-03-31,9.8
sh.600085,2017-03-31,31.61
sh.600088,2017-03-31,18.91
sh.600089,2017-03-31,11.19
sh.600090,2017-03-31,10.78
sh.600091,2017-03-31,8.41
sh.600093,2017-03-31,13.63
sh.600094,2017-03-31,8.1
sh.600095,2017-03-31,11.37
sh.600096,2017-03-31,8.81
sh.600097,2017-03-31,18.6
sh.600098,2017-03-31,9.41
sh.600099,2017-03-31,16.2
sh.600100,2017-03-31,13.65
sh.600101,2017-03-31,11.84
sh.600103,2017-03-31,5.18
sh.600104,2017-03-31,25.38
sh.600105,2017-03-31,10.04
sh.600106,2017-03-31,8.08
sh.600107,2017-03-31,13.63
sh.600108,2017-03-31,5.23
sh.600109,2017-03-31,13.7
sh.600110,2017-03-31,13.47
sh.600111,2017-03-31,12.11
sh.600112,2017-03-31,10.61
sh.600113,2017-03-31,18.31
sh.600114,2017-03-31,18.0
sh.600115,2017-03-31,6.87
sh.600116,2017-03-31,11.52
sh.600117,2017-03-31,6.15
sh.600118,2017-03-31,32.15
sh.600119,2017-03-31,21.5
sh.600120,2017-03-31,27.61
sh.600121,2017-03-31,4.97
sh.600122,2017-03-31,12.95
sh.600123,2017-03-31,7.78
sh.600125,2017-03-31,9.81
sh.600126,2017-03-31,8.34
sh.600127,2017-03-31,7.09
sh.600128,2017-03-31,14.25
sh.600129,2017-03-31,17.73
sh.600130,2017-03-31,7.62
sh.600131,2017-03-31,11.06
sh.600132,2017-03-31,21.68
sh.600133,2017-03-31,7.99
sh.600135,2017-03-31,14.4
sh.600136,2017-03-31,16.79
sh.600137,2017-03-31,45.44
sh.600138,2017-03-31,21.83
sh.600139,2017-03-31,12.83
sh.600141,2017-03-31,14.61
sh.600143,2017-03-31,7.74
sh.600145,2017-03-31,1.87
sh.600146,2017-03-31,35.73
sh.600148,2017-03-31,34.39
sh.600149,2017-03-31,16.57
sh.600150,2017-03-31,28.3
sh.600151,2017-03-31,10.97
sh.600152,2017-03-31,11.12
sh.600153,2017-03-31,10.97
sh.600155,2017-03-31,12.9
sh.600156,2017-03-31,10.01
sh.600157,2017-03-31,3.96
sh.600158,2017-03-31,18.47
sh.600159,2017-03-31,5.35
sh.600160,2017-03-31,11.21
sh.600161,2017-03-31,39.67
sh.600162,2017-03-31,3.76
